BEG|Belgrade Nikola Tesla Airport|Beograd|Srbija
CDG|Charles de Gaulle Airport|Pariz|Francuska
FRA|Frankfurt Airport|Frankfurt|Nemačka
LHR|Heathrow Airport|London|Ujedinjeno Kraljevstvo
IST|Istanbul Airport|Istanbul|Turska
DXB|Dubai International Airport|Dubai|Ujedinjeni Arapski Emirati
JFK|John F. Kennedy International Airport|Njujork|Sjedinjene Američke Države
AMS|Amsterdam Airport Schiphol|Amsterdam|Holandija
VIE|Vienna International Airport|Beč|Austrija
ATH|Athens International Airport|Atina|Grčka
FCO|Leonardo da Vinci International Airport|Rim|Italija
ZRH|Zurich Airport|Cirih|Švajcarska
BRU|Brussels Airport|Brisel|Belgija
WAW|Warsaw Chopin Airport|Varšava|Poljska
ARN|Stockholm Arlanda Airport|Stokholm|Švedska
CPH|Copenhagen Airport|Kopenhagen|Danska
DOH|Hamad International Airport|Doha|Katar
AUH|Abu Dhabi International Airport|Abu Dabi|Ujedinjeni Arapski Emirati
MAD|Adolfo Suárez Madrid–Barajas Airport|Madrid|Španija
BCN|Barcelona–El Prat Airport|Barselona|Španija
TIV|Tivat Airport|Tivat|Crna Gora